mean_ranks,created_at,loss,train_loss,epoch
1417.9500732421875,2022-04-15 09:53:38.186273,,,
1319.050048828125,2022-04-15 09:53:38.228072,,,
1474.050048828125,2022-04-15 09:53:38.270738,,,
993.0,2022-04-15 09:53:38.312283,,,
1383.5999755859375,2022-04-15 09:53:38.353530,,,
1486.4500732421875,2022-04-15 09:53:38.394994,,,
1317.5,2022-04-15 09:53:38.436013,,,
1231.300048828125,2022-04-15 09:53:38.476902,,,
839.0,2022-04-15 09:53:38.518558,,,
785.9000244140625,2022-04-15 09:53:38.559895,,,
1280.8499755859375,2022-04-15 09:53:38.601153,,,
1209.550048828125,2022-04-15 09:53:38.643250,,,
2241.10009765625,2022-04-15 09:53:38.684222,,,
1758.550048828125,2022-04-15 09:53:38.724818,,,
1019.6000366210938,2022-04-15 09:53:38.766277,,,
782.0499877929688,2022-04-15 09:53:38.806981,,,
602.8500366210938,2022-04-15 09:53:38.848092,,,
1697.550048828125,2022-04-15 09:53:38.889470,,,
2003.75,2022-04-15 09:53:38.930443,,,
1477.0999755859375,2022-04-15 09:53:38.971391,,,
1777.6500244140625,2022-04-15 09:53:39.013386,,,
1424.800048828125,2022-04-15 09:53:39.054506,,,
1440.0999755859375,2022-04-15 09:53:39.095431,,,
1966.7000732421875,2022-04-15 09:53:39.137768,,,
1560.9500732421875,2022-04-15 09:53:39.178855,,,
1028.4500732421875,2022-04-15 09:53:39.220749,,,
1322.25,2022-04-15 09:53:39.262936,,,
866.6000366210938,2022-04-15 09:53:39.304128,,,
1771.800048828125,2022-04-15 09:53:39.345183,,,
430.75,2022-04-15 09:53:39.387434,,,
1715.0999755859375,2022-04-15 09:53:39.428635,,,
1032.550048828125,2022-04-15 09:53:39.470229,,,
1348.7000732421875,2022-04-15 09:53:39.512578,,,
1007.7000122070312,2022-04-15 09:53:39.554438,,,
1875.9000244140625,2022-04-15 09:53:39.595666,,,
1559.0,2022-04-15 09:53:39.637731,,,
1215.1500244140625,2022-04-15 09:53:39.679685,,,
1382.300048828125,2022-04-15 09:53:39.721217,,,
1835.0999755859375,2022-04-15 09:53:39.763807,,,
1687.0,2022-04-15 09:53:39.805064,,,
1244.0999755859375,2022-04-15 09:53:39.846595,,,
616.1500244140625,2022-04-15 09:53:39.888584,,,
560.9000244140625,2022-04-15 09:53:39.929890,,,
1369.2000732421875,2022-04-15 09:53:39.970852,,,
1255.9000244140625,2022-04-15 09:53:40.013281,,,
422.20001220703125,2022-04-15 09:53:40.055936,,,
716.3500366210938,2022-04-15 09:53:40.097895,,,
1701.75,2022-04-15 09:53:40.140774,,,
973.4500122070312,2022-04-15 09:53:40.189163,,,
640.1000366210938,2022-04-15 09:53:40.230951,,,
1082.9000244140625,2022-04-15 09:53:40.273215,,,
1729.9500732421875,2022-04-15 09:53:40.315249,,,
1444.3499755859375,2022-04-15 09:53:40.357154,,,
1614.3499755859375,2022-04-15 09:53:40.398440,,,
1382.0999755859375,2022-04-15 09:53:40.439898,,,
887.75,2022-04-15 09:53:40.481639,,,
944.3500366210938,2022-04-15 09:53:40.523408,,,
1124.7000732421875,2022-04-15 09:53:40.564512,,,
1600.050048828125,2022-04-15 09:53:40.605445,,,
1190.5999755859375,2022-04-15 09:53:40.646886,,,
1481.75,2022-04-15 09:53:40.688104,,,
1291.2000732421875,2022-04-15 09:53:40.729423,,,
1382.4500732421875,2022-04-15 09:53:40.771294,,,
1070.25,2022-04-15 09:53:40.812756,,,
936.75,2022-04-15 09:53:40.855523,,,
526.3500366210938,2022-04-15 09:53:40.897324,,,
1199.8499755859375,2022-04-15 09:53:40.938205,,,
2029.2000732421875,2022-04-15 09:53:40.979182,,,
1257.4500732421875,2022-04-15 09:53:41.021061,,,
1597.8499755859375,2022-04-15 09:53:41.061790,,,
914.9500122070312,2022-04-15 09:53:41.102905,,,
1119.3499755859375,2022-04-15 09:53:41.144798,,,
1148.800048828125,2022-04-15 09:53:41.187748,,,
2303.10009765625,2022-04-15 09:53:41.228998,,,
1001.25,2022-04-15 09:53:41.271003,,,
1026.0,2022-04-15 09:53:41.312354,,,
1244.0999755859375,2022-04-15 09:53:41.353453,,,
916.9000244140625,2022-04-15 09:53:41.395967,,,
996.7999877929688,2022-04-15 09:53:41.436682,,,
2091.199951171875,2022-04-15 09:53:41.478132,,,
1727.3499755859375,2022-04-15 09:53:41.519991,,,
1246.300048828125,2022-04-15 09:53:41.561493,,,
801.5,2022-04-15 09:53:41.602899,,,
1156.9000244140625,2022-04-15 09:53:41.644706,,,
2007.75,2022-04-15 09:53:41.685625,,,
1568.2000732421875,2022-04-15 09:53:41.726693,,,
862.5499877929688,2022-04-15 09:53:41.768212,,,
1409.9000244140625,2022-04-15 09:53:41.809230,,,
873.25,2022-04-15 09:53:41.849862,,,
1524.300048828125,2022-04-15 09:53:41.891668,,,
1035.6500244140625,2022-04-15 09:53:41.932759,,,
1133.1500244140625,2022-04-15 09:53:41.973924,,,
753.0,2022-04-15 09:53:42.015808,,,
1358.5,2022-04-15 09:53:42.056586,,,
1089.7000732421875,2022-04-15 09:53:42.097539,,,
1590.6500244140625,2022-04-15 09:53:42.138917,,,
1381.0999755859375,2022-04-15 09:53:42.180602,,,
1392.9000244140625,2022-04-15 09:53:42.228815,,,
1377.3499755859375,2022-04-15 09:53:42.270931,,,
927.0499877929688,2022-04-15 09:53:42.311936,,,
1059.1500244140625,2022-04-15 09:53:42.352754,,,
1044.5999755859375,2022-04-15 09:53:42.394751,,,
739.25,2022-04-15 09:53:42.436017,,,
711.2999877929688,2022-04-15 09:53:42.476416,,,
464.8500061035156,2022-04-15 09:53:42.519022,,,
1300.8499755859375,2022-04-15 09:53:42.560413,,,
882.75,2022-04-15 09:53:42.601831,,,
1742.1500244140625,2022-04-15 09:53:42.643866,,,
1466.300048828125,2022-04-15 09:53:42.684717,,,
1125.0,2022-04-15 09:53:42.725669,,,
1387.050048828125,2022-04-15 09:53:42.766949,,,
1575.5,2022-04-15 09:53:42.808038,,,
1454.2000732421875,2022-04-15 09:53:42.849135,,,
835.7000122070312,2022-04-15 09:53:42.891035,,,
1003.2000122070312,2022-04-15 09:53:42.932057,,,
781.4000244140625,2022-04-15 09:53:42.973262,,,
1478.25,2022-04-15 09:53:43.015060,,,
645.4000244140625,2022-04-15 09:53:43.057328,,,
1307.7000732421875,2022-04-15 09:53:43.098875,,,
1175.1500244140625,2022-04-15 09:53:43.141131,,,
1320.5999755859375,2022-04-15 09:53:43.182574,,,
952.7999877929688,2022-04-15 09:53:43.224628,,,
1144.8499755859375,2022-04-15 09:53:43.266848,,,
1322.2000732421875,2022-04-15 09:53:43.308480,,,
