mean_ranks,created_at,loss,train_loss,epoch
,2022-04-08 14:45:12.059141,,9.96100902557373,8.0
,2022-04-08 14:45:12.426282,"tensor(10.8384, device='cuda:0', grad_fn=<AddBackward0>)","tensor(10.8384, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-08 14:45:12.817141,"tensor(10.3396, device='cuda:0', grad_fn=<AddBackward0>)","tensor(10.3396, device='cuda:0', grad_fn=<AddBackward0>)",
47.25,2022-04-08 14:45:12.945130,,,
48.5,2022-04-08 14:45:12.987616,,,
625.0,2022-04-08 14:45:13.030094,,,
103.1500015258789,2022-04-08 14:45:13.072557,,,
4348.5,2022-04-08 14:45:13.100637,,,
,2022-04-08 14:45:13.101971,,,8.0
,2022-04-08 14:45:13.502542,"tensor(9.7347, device='cuda:0', grad_fn=<AddBackward0>)","tensor(9.7347, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-08 14:45:13.558841,,9.734696388244629,9.0
,2022-04-08 14:45:13.956793,"tensor(10.7874, device='cuda:0', grad_fn=<AddBackward0>)","tensor(10.7874, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-08 14:45:14.341770,"tensor(10.0420, device='cuda:0', grad_fn=<AddBackward0>)","tensor(10.0420, device='cuda:0', grad_fn=<AddBackward0>)",
41.0,2022-04-08 14:45:14.470284,,,
40.400001525878906,2022-04-08 14:45:14.512317,,,
610.0,2022-04-08 14:45:14.554203,,,
128.5500030517578,2022-04-08 14:45:14.596451,,,
4635.0,2022-04-08 14:45:14.631269,,,
,2022-04-08 14:45:14.632602,,,9.0
,2022-04-08 14:45:15.013370,"tensor(10.3343, device='cuda:0', grad_fn=<AddBackward0>)","tensor(10.3343, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-08 14:45:15.068984,,10.334297180175781,10.0
,2022-04-08 14:45:15.447578,"tensor(10.0608, device='cuda:0', grad_fn=<AddBackward0>)","tensor(10.0608, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-08 14:45:15.839986,"tensor(10.1295, device='cuda:0', grad_fn=<AddBackward0>)","tensor(10.1295, device='cuda:0', grad_fn=<AddBackward0>)",
32.70000076293945,2022-04-08 14:45:15.968330,,,
45.150001525878906,2022-04-08 14:45:16.011644,,,
612.0,2022-04-08 14:45:16.060419,,,
101.3499984741211,2022-04-08 14:45:16.102777,,,
4692.0,2022-04-08 14:45:16.130951,,,
,2022-04-08 14:45:16.132273,,,10.0
,2022-04-08 14:45:16.543623,"tensor(10.0626, device='cuda:0', grad_fn=<AddBackward0>)","tensor(10.0626, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-08 14:45:16.599592,,10.06261920928955,11.0
,2022-04-08 14:45:17.010173,"tensor(10.5183, device='cuda:0', grad_fn=<AddBackward0>)","tensor(10.5183, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-08 14:45:17.391465,"tensor(9.8884, device='cuda:0', grad_fn=<AddBackward0>)","tensor(9.8884, device='cuda:0', grad_fn=<AddBackward0>)",
27.899999618530273,2022-04-08 14:45:17.519656,,,
48.400001525878906,2022-04-08 14:45:17.562613,,,
620.2000122070312,2022-04-08 14:45:17.605959,,,
42.54999923706055,2022-04-08 14:45:17.649214,,,
4706.0,2022-04-08 14:45:17.678219,,,
,2022-04-08 14:45:17.679964,,,11.0
