mean_ranks,created_at,loss,train_loss,epoch
,2022-03-31 11:09:54.317665,"tensor(12.4238, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4238, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:09:55.570132,"tensor(12.4235, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4235, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:09:56.837059,"tensor(12.4228, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4228, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:09:58.101163,"tensor(12.4222, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4222, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:09:59.380384,"tensor(12.4218, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4218, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:10:00.657688,"tensor(12.4208, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4208, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:10:01.923836,"tensor(12.4205, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4205, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:10:03.205407,"tensor(12.4195, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4195, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:10:04.496542,"tensor(12.4184, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4184, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:10:05.788248,"tensor(12.4176, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4176, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:10:07.075772,"tensor(12.4169, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4169, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:10:08.341093,"tensor(12.4153, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4153, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:10:09.166912,"tensor(12.4153, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4153, device='cuda:0', grad_fn=<AddBackward0>)",
3484.550048828125,2022-03-31 11:10:09.372056,,,
3054.199951171875,2022-03-31 11:10:09.395751,,,
2939.60009765625,2022-03-31 11:10:09.419303,,,
3246.85009765625,2022-03-31 11:10:09.444851,,,
1765.6500244140625,2022-03-31 11:10:09.469404,,,
3927.949951171875,2022-03-31 11:10:09.501482,,,
1368.25,2022-03-31 11:10:09.525560,,,
1797.800048828125,2022-03-31 11:10:09.554968,,,
850.4000244140625,2022-03-31 11:10:09.579241,,,
979.7999877929688,2022-03-31 11:10:09.603329,,,
2040.2000732421875,2022-03-31 11:10:09.627564,,,
3288.699951171875,2022-03-31 11:10:09.651913,,,
863.7000122070312,2022-03-31 11:10:09.675899,,,
2262.0,2022-03-31 11:10:09.700604,,,
1032.4500732421875,2022-03-31 11:10:09.724416,,,
1029.0,2022-03-31 11:10:09.747850,,,
1257.2000732421875,2022-03-31 11:10:09.772026,,,
2050.900146484375,2022-03-31 11:10:09.796336,,,
1388.7000732421875,2022-03-31 11:10:09.820907,,,
1589.7000732421875,2022-03-31 11:10:09.844943,,,
148.0,2022-03-31 11:10:09.868755,,,
383.45001220703125,2022-03-31 11:10:09.893325,,,
1972.5,2022-03-31 11:10:09.917075,,,
2969.10009765625,2022-03-31 11:10:09.941168,,,
923.6000366210938,2022-03-31 11:10:09.965579,,,
597.1000366210938,2022-03-31 11:10:09.989641,,,
1067.7000732421875,2022-03-31 11:10:10.013735,,,
1529.4500732421875,2022-03-31 11:10:10.037936,,,
1775.5999755859375,2022-03-31 11:10:10.062424,,,
